objective_id,quest_id,condition_type,$condition_name,target_ids,required_value,display_order,enabled,memo
CatKnight_10001,CatKnight_10001,CHARACTER_LEVEL_AT_LEAST,캐릭터 레벨 달성,,5,10,1,
CatKnight_10002,CatKnight_10002,DUNGEON_ENTER_COUNT,던전 입장 카운트,4|5|6,5,20,1,
CatKnight_10003_01,CatKnight_10003,MONSTER_DEFEAT_COUNT,몬스터 처치 카운트,,30,30,1,
CatKnight_10003_02,CatKnight_10003,STAMINA_SPENT,행동력 소모,,50,40,1,
Barbarian_10001_01,Barbarian_10001,CHARACTER_LEVEL_AT_LEAST,캐릭터 레벨 달성,,3,10,1,
Barbarian_10002_01,Barbarian_10002,MONSTER_DEFEAT_COUNT,몬스터 처치 카운트,,12,10,1,
Barbarian_10003_01,Barbarian_10003,CHARACTER_LEVEL_AT_LEAST,캐릭터 레벨 달성,,6,10,1,
Barbarian_10003_02,Barbarian_10003,STAMINA_SPENT,행동력 소모,,20,20,1,
ElfArcher_10001_01,ElfArcher_10001,DUNGEON_ENTER_COUNT,던전 입장 카운트,,2,10,1,
ElfArcher_10002_01,ElfArcher_10002,CHARACTER_LEVEL_AT_LEAST,캐릭터 레벨 달성,,4,10,1,
ElfArcher_10003_01,ElfArcher_10003,CHARACTER_LEVEL_AT_LEAST,캐릭터 레벨 달성,,6,10,1,
ElfArcher_10003_02,ElfArcher_10003,MONSTER_DEFEAT_COUNT,몬스터 처치 카운트,,10,20,1,
