Key,Id,English(en),Korean (South Korea)(ko-KR)
1,84858101760,Kill Count : {0},{0} 처치
2,,Combo,콤보
3,,Change,캐릭터 교체
4,,Stamina,행동력
5,,Inventory,가방
6,,The summoned mercenary's action power has become 0.,소환된 용병의 행동력이 0이 되었습니다.
7,,Available,교체가능
8,,Active,소환중
9,,Exhausted,교체불가
10,,Recovering,회복중
11,,RecoveryComplete,회복완료
12,,RecoveryStation,회복소
13,,Recovery,회복하기
14,,Require : ,남은시간 : 
15,,Join the party,파티 합류
16,,Register mercenaries who need recovery.,회복이 필요한 용병을 등록하세요.
17,,Confirm,확인
18,,Cancel,취소
19,,The recovery of {0} has been completed.,{0}(이)가 회복을 완료하였습니다.
20,,Dungeon,던전
21,,Dungeon 1,던전 1
22,,Dungeon 2,던전 2
23,,Dungeon 3,던전 3
24,,Enter,입장하기
25,,소속 세계 {0},소속 세계 {0}
26,,등장 몬스터,등장 몬스터
27,,주요 보상,주요 보상
28,,애니멀랜드,애니멀랜드
29,,판타지아,판타지아
30,,ReturnTown,마을로
31,,Safe Area,안전지역
32,,Dangerous Area,위험지역
33,,Result,결과
34,,진행시간 - HH:mm:ss,진행시간 - HH:mm:ss
35,,처치한 몬스터 수,처치한 몬스터 수
36,,획득한 재화,획득한 재화
37,,획득한 아이템,획득한 아이템
38,,1일 이상,1일 이상
39,,Information,아이템 정보
40,,"Unlock - {0}

Time - {1}
Cost - {2}","해금 기능 - {0}

소요 시간 - {1}
비용 - {2}"
41,,Not Enough Cost,비용이 부족합니다.
42,,건설을 시작했습니다.,건설을 시작했습니다.
43,,건축이 완료되었습니다.,건축이 완료되었습니다.
44,,소환,소환
45,,용병 소환 완료,용병 소환 완료
46,,획득하기,획득하기
47,,돌려보내기,돌려보내기
48,,{0}이 파티에 합류하였습니다.,{0}이 파티에 합류하였습니다.
49,,"{0}이 원래 세계로 돌아갔습니다.

다음 용병 모집 시간이 50% 단축됩니다.","{0}이 원래 세계로 돌아갔습니다.

다음 용병 모집 시간이 50% 단축됩니다."
50,,용병 소환 대기,용병 소환 대기
51,,더 이상 소환할 수 있는 용병이 없습니다.,더 이상 소환할 수 있는 용병이 없습니다.
52,,용병 명부,용병 명부
53,,전체 용병,전체 용병
54,,보유 용병,보유 용병
55,,Empty,비어있음
56,,Party,출전 파티
57,,파티 탈퇴,파티 탈퇴
58,,보유 현황 {0}/{1},보유 현황 {0}/{1}
59,,회복소에 있는 용병은 파티탈퇴가 불가합니다.,회복소에 있는 용병은 파티탈퇴가 불가합니다.
60,,{0} 용병이 파티에 합류했습니다.,{0} 용병이 파티에 합류했습니다.
61,,소환중인 용병은 파티탈퇴가 불가합니다.,소환중인 용병은 파티탈퇴가 불가합니다.
62,,기도 중단,기도 중단
63,,{0} 용병이 기도를 시작했습니다.,{0} 용병이 기도를 시작했습니다.
64,,{0} 용병이 기도를 중단했습니다.,{0} 용병이 기도를 중단했습니다.
65,,용병 명부 또는 교체 화면에서 용병을 끌어와서 등록할 수 있습니다.,용병 명부 또는 교체 화면에서 용병을 끌어와서 등록할 수 있습니다.
66,,파티에는 최소 1명의 용병이 필요합니다.,파티에는 최소 1명의 용병이 필요합니다.
67,,{0} 용병은 기도가 필요하지 않습니다.,{0} 용병은 기도가 필요하지 않습니다.
68,,게임종료,게임종료
69,,게임을 종료하시겠습니까?,게임을 종료하시겠습니까?
70,,{0}초 후 자동 종료됩니다.,{0}초 후 자동 종료됩니다.
71,,Shop,상점
72,,Buy,구매
73,,Sell,판매
74,,판매 전환,판매 전환
75,,구매 전환,구매 전환
76,,아이템을 구매하시겠습니까?,아이템을 구매하시겠습니까?
77,,아이템을 판매하시겠습니까?,아이템을 판매하시겠습니까?
78,,"인벤토리에서 판매할 아이템을
드래그 하거나 오른쪽 클릭 하면 
판매할 수 있습니다.","인벤토리에서 판매할 아이템을
드래그 하거나 오른쪽 클릭 하면 
판매할 수 있습니다."
79,,아이템 구매에 실패하였습니다.,아이템 구매에 실패하였습니다.
80,,아이템을 구입했습니다.,아이템을 구입했습니다.
81,,아이템이 판매되었습니다.,아이템이 판매되었습니다.
82,,Move Handle,UI 이동
83,,획득할 수 있는 용병이 없습니다.,획득할 수 있는 용병이 없습니다.
1001,,용병 모집,용병 모집
1002,,기도·정화,기도·정화
1003,,상점 이용,상점 이용
