Key,Id,English(en),Korean (South Korea)(ko-KR)
1,,더미아이템1,더미아이템1
2,,더미아이템2,더미아이템2
3,,더미아이템3,더미아이템3
4,,더미아이템4,더미아이템4
5,,더미아이템5,더미아이템5
6,,Stamina Recovery (Small),행동력 회복 (소)
7,,Stamina Recovery (Medium),행동력 회복 (중)
8,,Stamina Recovery (Large),행동력 회복 (대)
10001,,더미아이템1의 툴팁 설명,더미아이템1의 툴팁 설명
10002,,더미아이템2의 툴팁 설명,더미아이템2의 툴팁 설명
10003,,더미아이템3의 툴팁 설명,더미아이템3의 툴팁 설명
10004,,더미아이템4의 툴팁 설명,더미아이템4의 툴팁 설명
10005,,더미아이템5의 툴팁 설명,더미아이템5의 툴팁 설명
10006,,Restores 10 stamina to the selected character.,사용한 캐릭터의 행동력을 10 회복합니다.
10007,,Restores 20 stamina to the selected character.,사용한 캐릭터의 행동력을 20 회복합니다.
10008,,Restores 30 stamina to the selected character.,사용한 캐릭터의 행동력을 30 회복합니다.
