Key,Id,English(en),Korean (South Korea)(ko-KR)
1,,레벨 달성,레벨 달성
2,,몬스터 처치,몬스터 처치
3,,행동력 소모,행동력 소모
4,,던전 입장,던전 입장
5,,마을 복귀,마을 복귀
6,,잠긴 기능 해금,잠긴 기능 해금
7,,용병 영입,용병 영입
8,,용병 명부,용병 명부
9,,파티 등록,파티 등록
10,,회복 시작,회복 시작
11,,회복 완료,회복 완료
12,,합류,합류
13,,아이템 구매,아이템 구매
14,,아이템 사용,아이템 사용
15,,행동력 회복,행동력 회복
16,,캐릭터 교체,캐릭터 교체
10001,,캐릭터 레벨 <color=#FFD54A>{0}</color> 달성 ({1}/{2}),캐릭터 레벨 <color=#FFD54A>{0}</color> 달성 ({1}/{2})
10002,,[{0}] {1}마리 처치 ({2}/{3}),[{0}] {1}마리 처치 ({2}/{3})
10003,,행동력 <color=#FFD54A>{0}</color> 소모 ({1}/{2}),행동력 <color=#FFD54A>{0}</color> 소모 ({1}/{2})
10004,,[{0}] <color=#FFD54A>{1}</color>회 입장 ({2}/{3}),[{0}] <color=#FFD54A>{1}</color>회 입장 ({2}/{3})
10005,,마을 복귀 ({0}/{1}),마을 복귀 ({0}/{1})
10006,,기능 <color=#FFD54A>[{0}]</color> 해금 확인 ({1}/{2}),기능 <color=#FFD54A>[{0}]</color> 해금 확인 ({1}/{2})
10007,,캐릭터 <color=#FFD54A>[{0}]</color> 영입 ({1}/{2}),캐릭터 <color=#FFD54A>[{0}]</color> 영입 ({1}/{2})
10008,,용병 명부 확인 ({0}/{1}),용병 명부 확인 ({0}/{1})
10009,,캐릭터 <color=#FFD54A>[{0}]</color> 파티 등록 ({1}/{2}),캐릭터 <color=#FFD54A>[{0}]</color> 파티 등록 ({1}/{2})
10010,,캐릭터 <color=#FFD54A>[{0}]</color> 회복 시작 ({1}/{2}),캐릭터 <color=#FFD54A>[{0}]</color> 회복 시작 ({1}/{2})
10011,,캐릭터 <color=#FFD54A>[{0}]</color> 회복 완료 ({1}/{2}),캐릭터 <color=#FFD54A>[{0}]</color> 회복 완료 ({1}/{2})
10012,,캐릭터 <color=#FFD54A>[{0}]</color> 합류 ({1}/{2}),캐릭터 <color=#FFD54A>[{0}]</color> 합류 ({1}/{2})
10013,,아이템 <color=#FFD54A>[{0}]</color> 구매 ({1}/{2}),아이템 <color=#FFD54A>[{0}]</color> 구매 ({1}/{2})
10014,,아이템 <color=#FFD54A>[{0}]</color> 사용 ({1}/{2}),아이템 <color=#FFD54A>[{0}]</color> 사용 ({1}/{2})
10015,,캐릭터 <color=#FFD54A>[{0}]</color> 행동력 최대 ({1}/{2}),캐릭터 <color=#FFD54A>[{0}]</color> 행동력 최대 ({1}/{2})
10016,,캐릭터 <color=#FFD54A>[{0}]</color> 교체 ({1}/{2}),캐릭터 <color=#FFD54A>[{0}]</color> 교체 ({1}/{2})
20010,,첫 던전 탐험,첫 던전 탐험
30010,,던전에 1회 입장하세요.,던전에 1회 입장하세요.
20020,,첫 전투,첫 전투
30020,,던전에서 몬스터를 10마리 처치하세요.,던전에서 몬스터를 10마리 처치하세요.
20030,,첫 성장,첫 성장
30030,,고양이기사의 레벨을 2까지 올리세요.,고양이기사의 레벨을 2까지 올리세요.
20040,,마을로 복귀,마을로 복귀
30040,,던전 탐험을 마치고 마을로 복귀하세요.,던전 탐험을 마치고 마을로 복귀하세요.
20050,,용병명부 해금,용병명부 해금
30050,,용병명부 기능을 해금하세요.,용병명부 기능을 해금하세요.
20060,,새로운 용병,새로운 용병
30060,,여관에서 토끼힐러를 모집하세요.,여관에서 토끼힐러를 모집하세요.
20070,,용병 명부 확인,용병 명부 확인
30070,,용병 명부를 열어 새로 모집한 용병을 확인하세요.,용병 명부를 열어 새로 모집한 용병을 확인하세요.
20080,,파티 등록,파티 등록
30080,,토끼힐러를 파티에 등록하세요.,토끼힐러를 파티에 등록하세요.
20090,,회복 시작,회복 시작
30090,,행동력이 소진된 토끼힐러를 회복소에 등록하세요.,행동력이 소진된 토끼힐러를 회복소에 등록하세요.
20100,,상점 해금,상점 해금
30100,,상점 기능을 해금하세요.,상점 기능을 해금하세요.
20110,,회복 아이템 구매,회복 아이템 구매
30110,,상점에서 행동력 회복 아이템을 1개 구매하세요.,상점에서 행동력 회복 아이템을 1개 구매하세요.
20120,,회복 아이템 사용,회복 아이템 사용
30120,,구매한 행동력 회복 아이템을 고양이기사에게 사용하세요.,구매한 행동력 회복 아이템을 고양이기사에게 사용하세요.
20130,,행동력 회복,행동력 회복
30130,,고양이기사의 행동력을 최대치까지 회복하세요.,고양이기사의 행동력을 최대치까지 회복하세요.
20140,,다시 던전으로,다시 던전으로
30140,,두 번째 던전 탐험을 시작하세요.,두 번째 던전 탐험을 시작하세요.
20150,,전투 훈련,전투 훈련
